"","Trend_Time","Trend","Trend_Q0.025","Trend_Q0.975","Number_of_Routes","Region","trend_type"
"173","Short-term",3.39542170047853,-3.64764617497981,10.9840176209928,10,"US-AZ-16","Short"
"174","Short-term",10.4049295890479,4.06277517994875,17.1095787746791,20,"US-AZ-33","Short"
"175","Short-term",7.3840623931435,2.87849496433219,12.1699678070678,22,"US-AZ-34","Short"
"176","Short-term",-2.4853762796716,-6.81276616791366,1.57100407331084,45,"CA-BC-10","Short"
"177","Short-term",-1.91970337310193,-6.03359849206462,2.49936444355987,36,"CA-BC-5","Short"
"178","Short-term",1.31415499325082,-6.26210236997138,8.8425287866345,7,"CA-BC-6","Short"
"179","Short-term",-4.48355301475963,-8.96995400801464,-0.375929758641059,24,"CA-BC-9","Short"
"180","Short-term",-7.72566629423588,-12.1862601021789,-2.70556181984294,24,"US-CA-15","Short"
"181","Short-term",-4.25872611816652,-6.94167361863682,-1.82753340906342,76,"US-CA-32","Short"
"182","Short-term",12.8986750089423,2.60210393129825,22.9960719525091,25,"US-CA-33","Short"
"183","Short-term",-5.47194597749403,-9.37860196768698,-1.37004043838084,23,"US-CA-5","Short"
"184","Short-term",-4.0409015102607,-7.52465218331254,-0.936705062265776,17,"US-CA-9","Short"
"185","Short-term",4.43539867576295,-3.9118904079306,13.0299805959451,4,"US-CO-10","Short"
"186","Short-term",-1.6884188765417,-5.02094742327344,1.91940191219659,75,"US-CO-16","Short"
"187","Short-term",1.40401929782182,-1.84693650680284,4.66112815704657,50,"US-CO-18","Short"
"188","Short-term",0.0012649260417219,-3.8232036928194,3.90917204042306,17,"US-CT-30","Short"
"189","Short-term",-1.57268578734531,-4.87499851404332,1.81013143917017,14,"US-DE-30","Short"
"190","Short-term",-0.264644272515902,-4.72071868201526,4.06995371105218,35,"US-FL-27","Short"
"191","Short-term",0.187196500644771,-7.320694955081,8.69228974959852,35,"US-FL-31","Short"
"192","Short-term",3.88681750090758,1.84130369598207,5.86707415735354,55,"US-GA-27","Short"
"193","Short-term",-3.65653172697,-6.90609397210731,-0.296479129035631,9,"US-GA-28","Short"
"194","Short-term",-1.1898400631483,-3.84246086704035,1.75373596824046,32,"US-GA-29","Short"
"195","Short-term",-4.23632731276028,-7.01382316693677,-1.44344638013195,9,"US-IA-11","Short"
"196","Short-term",-1.1655235657083,-3.17030405992102,0.769595761543244,27,"US-IA-22","Short"
"197","Short-term",-3.92796573166858,-8.96778782518836,1.63784841288741,17,"US-ID-10","Short"
"198","Short-term",0.745701618987882,-2.26659976945055,3.89075857863993,29,"US-ID-9","Short"
"199","Short-term",-2.81065851844872,-3.82993836740578,-1.51616104802742,85,"US-IL-22","Short"
"200","Short-term",-1.42648268245121,-5.61122772860238,2.98511195151975,4,"US-IL-23","Short"
"201","Short-term",-2.5036524558094,-5.6561748890964,1.16578319618947,13,"US-IL-24","Short"
"202","Short-term",-3.08843493228677,-4.88944756862175,-1.09670400376062,32,"US-IN-22","Short"
"203","Short-term",-2.88642071359002,-6.3625407077533,0.979968166421919,10,"US-IN-23","Short"
